Bytes,AverageTime
8,21.9000
10008,18.2000
20008,39.4000
30008,59.9000
40008,67.3000
50008,84.1000
60008,101.4000
70008,118.4000
80008,131.3000
90008,147.3000
100008,167.5000
110008,185.3000
120008,197.2000
130008,213.4000
140008,203.8000
150008,205.0000
160008,217.7000
170008,216.5000
180008,207.0000
190008,208.8000
200008,205.1000
210008,204.5000
220008,204.2000
230008,195.8000
240008,203.1000
250008,205.2000
260008,198.6000
270008,206.2000
280008,199.5000
290008,198.8000
300008,207.8000
310008,208.6000
320008,223.9000
330008,199.7000
340008,203.7000
350008,212.0000
360008,207.3000
370008,222.8000
380008,210.0000
390008,205.0000
400008,199.3000
410008,205.8000
420008,208.8000
430008,203.1000
440008,195.0000
450008,210.1000
460008,217.8000
470008,206.7000
480008,205.0000
490008,208.8000
